"Sample","N^-0.5","N^-0.75","N^-1","White Noise","Golden Ratio","Golden Ratio2","Hammersley","Sobol","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"230","0.065938","0.016932","0.004348","0.004012","0.003432","0.013687","0.180823","0.000155","0.000352","0.000304","0.007569"
"231","0.065795","0.016877","0.004329","0.002639","0.004109","0.014044","0.181126","0.000176","0.000830","0.000880","0.007658"
"232","0.065653","0.016822","0.004310","0.003181","0.003650","0.013884","0.179756","0.001429","0.001556","0.001980","0.006509"
"233","0.065512","0.016768","0.004292","0.004962","0.002998","0.015391","0.180635","0.000692","0.001049","0.001642","0.007331"
"234","0.065372","0.016714","0.004274","0.005169","0.004018","0.013967","0.180345","0.000283","0.000004","0.000780","0.007201"
"235","0.065233","0.016661","0.004255","0.005846","0.003679","0.013850","0.180803","0.001148","0.000818","0.001457","0.007505"
"236","0.065094","0.016608","0.004237","0.004185","0.002900","0.012821","0.179659","0.000029","0.000514","0.000196","0.007419"
"237","0.064957","0.016555","0.004219","0.004019","0.001587","0.013662","0.180368","0.001258","0.001113","0.000649","0.006247"
"238","0.064820","0.016503","0.004202","0.004687","0.001864","0.013035","0.179656","0.000659","0.000475","0.001077","0.007132"
"239","0.064685","0.016451","0.004184","0.003792","0.003539","0.012362","0.179764","0.000148","0.000814","0.001850","0.005340"
"240","0.064550","0.016400","0.004167","0.004280","0.002317","0.013232","0.178247","0.001958","0.001043","0.002180","0.005300"
"241","0.064416","0.016349","0.004149","0.005361","0.002464","0.013062","0.179107","0.001839","0.001275","0.000541","0.005785"
"242","0.064282","0.016298","0.004132","0.005844","0.001876","0.012156","0.178924","0.001456","0.001993","0.000949","0.006140"
"243","0.064150","0.016248","0.004115","0.006643","0.002964","0.010943","0.179430","0.001091","0.000479","0.001049","0.006395"
"244","0.064018","0.016198","0.004098","0.005886","0.001331","0.011192","0.178424","0.001595","0.001959","0.000938","0.006058"
"245","0.063888","0.016148","0.004082","0.005917","0.000941","0.012761","0.179148","0.000016","0.000283","0.000014","0.006719"
"246","0.063758","0.016099","0.004065","0.005402","0.001964","0.011529","0.178558","0.000185","0.000349","0.000074","0.005624"
"247","0.063628","0.016050","0.004049","0.004009","0.002146","0.011546","0.178743","0.000373","0.001511","0.000994","0.006088"
"248","0.063500","0.016002","0.004032","0.004780","0.001410","0.011054","0.177365","0.001578","0.000808","0.000862","0.005354"
"249","0.063372","0.015953","0.004016","0.005812","0.000402","0.012140","0.178145","0.000598","0.001685","0.000965","0.005876"
"250","0.063246","0.015905","0.004000","0.006194","0.000938","0.010513","0.177765","0.000185","0.002279","0.001189","0.006188"
"251","0.063119","0.015858","0.003984","0.005301","0.000223","0.010044","0.178105","0.000309","0.003019","0.001483","0.007253"
"252","0.062994","0.015811","0.003968","0.005966","0.000832","0.010942","0.176935","0.001596","0.002962","0.002651","0.007942"
"253","0.062869","0.015764","0.003953","0.006118","0.000733","0.011181","0.177533","0.000668","0.001616","0.001899","0.007985"
"254","0.062746","0.015717","0.003937","0.005051","0.000937","0.012736","0.176760","0.000858","0.002234","0.001093","0.007632"
"255","0.062622","0.015671","0.003922","0.003810","0.000377","0.011677","0.176763","0.000121","0.001009","0.001725","0.007718"
"256","0.062500","0.015625","0.003906","0.003912","0.001047","0.012155","0.175255","0.000990","0.000314","0.001018","0.007047"
"257","0.062378","0.015579","0.003891","0.002967","0.001289","0.011480","0.176058","0.000072","0.000748","0.000254","0.006673"
"258","0.062257","0.015534","0.003876","0.004229","0.002224","0.012337","0.176043","0.000175","0.000810","0.001018","0.005772"
"259","0.062137","0.015489","0.003861","0.004285","0.001609","0.012230","0.176610","0.000261","0.000132","0.001585","0.006494"
"260","0.062017","0.015444","0.003846","0.004899","0.000067","0.012102","0.175835","0.000872","0.000495","0.002720","0.006266"
"261","0.061898","0.015400","0.003831","0.005412","0.000694","0.013348","0.176560","0.000072","0.000351","0.003459","0.005661"
"262","0.061780","0.015356","0.003817","0.004706","0.000064","0.013350","0.176171","0.000030","0.000780","0.002678","0.004989"
"263","0.061663","0.015312","0.003802","0.005108","0.000323","0.013041","0.176470","0.000347","0.000061","0.001306","0.005915"
"264","0.061546","0.015269","0.003788","0.005659","0.000870","0.012110","0.175333","0.001067","0.001007","0.001943","0.006661"
"265","0.061430","0.015225","0.003774","0.006957","0.000396","0.012768","0.176082","0.000417","0.001058","0.002193","0.005679"
"266","0.061314","0.015182","0.003759","0.007899","0.000327","0.014355","0.175880","0.000405","0.001423","0.001958","0.006396"
"267","0.061199","0.015140","0.003745","0.007807","0.000993","0.013531","0.176304","0.001210","0.001270","0.002444","0.007081"
"268","0.061085","0.015097","0.003731","0.007806","0.001356","0.014064","0.175361","0.000225","0.000812","0.001958","0.006475"
"269","0.060971","0.015055","0.003717","0.008229","0.001126","0.013869","0.175984","0.001311","0.000268","0.001729","0.005984"
"270","0.060858","0.015013","0.003704","0.008812","0.000509","0.015103","0.175416","0.000700","0.001437","0.001344","0.006409"
"271","0.060746","0.014972","0.003690","0.008724","0.001387","0.013884","0.175548","0.000073","0.001070","0.000678","0.006634"
"272","0.060634","0.014930","0.003676","0.007244","0.000881","0.013802","0.174270","0.001514","0.000376","0.000070","0.006972"
"273","0.060523","0.014889","0.003663","0.007769","0.000280","0.014993","0.174999","0.001397","0.001164","0.000090","0.007271"
"274","0.060412","0.014849","0.003650","0.006910","0.000835","0.015491","0.174882","0.000997","0.001872","0.000434","0.008665"
"275","0.060302","0.014808","0.003636","0.005904","0.000970","0.015053","0.175343","0.000718","0.001868","0.000973","0.009813"
"276","0.060193","0.014768","0.003623","0.004556","0.002389","0.014419","0.174512","0.001151","0.003143","0.001708","0.009568"
"277","0.060084","0.014728","0.003610","0.003232","0.001333","0.015298","0.175143","0.000250","0.002640","0.000242","0.008742"
"278","0.059976","0.014688","0.003597","0.003099","0.001546","0.014944","0.174674","0.000178","0.002682","0.000123","0.007448"
"279","0.059868","0.014649","0.003584","0.003437","0.000907","0.014282","0.174867","0.000044","0.002580","0.001414","0.006406"
"280","0.059761","0.014609","0.003571","0.004435","0.001699","0.013115","0.173704","0.001148","0.001719","0.000827","0.004844"
"281","0.059655","0.014570","0.003559","0.003269","0.001384","0.013249","0.174374","0.000289","0.001069","0.000945","0.005198"
"282","0.059549","0.014532","0.003546","0.003287","0.001034","0.014614","0.174084","0.000160","0.001949","0.001288","0.005962"
"283","0.059444","0.014493","0.003534","0.003214","0.002014","0.013506","0.174404","0.000029","0.002350","0.001602","0.005170"
"284","0.059339","0.014455","0.003521","0.003416","0.001972","0.013595","0.173422","0.001101","0.003486","0.001009","0.005023"
"285","0.059235","0.014417","0.003509","0.002184","0.001441","0.013011","0.173951","0.000269","0.003538","0.001359","0.005538"
"286","0.059131","0.014379","0.003497","0.002242","0.000510","0.013854","0.173317","0.000426","0.003128","0.001730","0.005412"
"287","0.059028","0.014341","0.003484","0.002434","0.000945","0.013308","0.173352","0.000153","0.003655","0.001712","0.005517"
"288","0.058926","0.014304","0.003472","0.002789","0.002393","0.012908","0.172065","0.001192","0.002684","0.002916","0.004193"
"289","0.058824","0.014267","0.003460","0.004202","0.001502","0.013802","0.172736","0.000748","0.003733","0.003398","0.003641"
"290","0.058722","0.014230","0.003448","0.004693","0.001731","0.013860","0.172653","0.000257","0.003672","0.003540","0.003424"
"291","0.058621","0.014193","0.003436","0.003863","0.001448","0.013259","0.173095","0.000466","0.004973","0.002029","0.003501"
"292","0.058521","0.014157","0.003425","0.004043","0.002530","0.012337","0.172345","0.000135","0.005817","0.002525","0.002954"
"293","0.058421","0.014120","0.003413","0.003605","0.001272","0.012755","0.172936","0.001077","0.006095","0.002842","0.002598"
"294","0.058321","0.014084","0.003401","0.003331","0.001101","0.012090","0.172525","0.000846","0.005976","0.001402","0.001198"
"295","0.058222","0.014049","0.003390","0.003436","0.002012","0.011173","0.172725","0.000463","0.005385","0.001072","0.001624"
"296","0.058124","0.014013","0.003378","0.003664","0.002387","0.011321","0.171659","0.000328","0.004861","0.001279","0.002580"
"297","0.058026","0.013978","0.003367","0.003484","0.001842","0.011094","0.172280","0.000716","0.003937","0.001681","0.001785"
"298","0.057928","0.013942","0.003356","0.003989","0.001151","0.012166","0.172034","0.001362","0.002741","0.002352","0.002435"
"299","0.057831","0.013907","0.003344","0.002854","0.001751","0.010886","0.172349","0.001544","0.002161","0.001829","0.002529"
"300","0.057735","0.013873","0.003333","0.003001","0.001352","0.010688","0.171452","0.000487","0.002203","0.002604","0.002128"
"301","0.057639","0.013838","0.003322","0.002969","0.000565","0.009839","0.171953","0.001171","0.001276","0.002292","0.003066"
"302","0.057544","0.013804","0.003311","0.001995","0.000693","0.010312","0.171384","0.000935","0.000714","0.002784","0.003174"
"303","0.057448","0.013769","0.003300","0.002020","0.000709","0.009676","0.171438","0.001041","0.000362","0.003311","0.004051"
"304","0.057354","0.013736","0.003289","0.003146","0.001914","0.009027","0.170249","0.000175","0.001362","0.002388","0.004491"
"305","0.057260","0.013702","0.003279","0.002934","0.000810","0.009603","0.170857","0.000353","0.000318","0.002970","0.004731"
"306","0.057166","0.013668","0.003268","0.002736","0.000717","0.009244","0.170689","0.000545","0.001299","0.002207","0.004136"
"307","0.057073","0.013635","0.003257","0.003401","0.000094","0.010226","0.171041","0.000122","0.000568","0.001070","0.003957"
"308","0.056980","0.013602","0.003247","0.003652","0.000797","0.009068","0.170243","0.000647","0.001013","0.001007","0.002700"
"309","0.056888","0.013568","0.003236","0.004404","0.002226","0.009045","0.170755","0.000302","0.001409","0.000656","0.001660"
"310","0.056796","0.013536","0.003226","0.004096","0.001717","0.010178","0.170275","0.000422","0.000940","0.000052","0.002292"
"311","0.056705","0.013503","0.003215","0.003700","0.002336","0.010454","0.170386","0.000817","0.002320","0.000413","0.002298"
"312","0.056614","0.013471","0.003205","0.003560","0.002318","0.010224","0.169297","0.000517","0.001511","0.001448","0.002458"
"313","0.056523","0.013438","0.003195","0.003900","0.003464","0.009635","0.169850","0.000242","0.000964","0.000492","0.002972"
"314","0.056433","0.013406","0.003185","0.003820","0.002508","0.010393","0.169529","0.000253","0.000706","0.000302","0.003251"
"315","0.056344","0.013374","0.003175","0.003184","0.002719","0.009902","0.169756","0.000652","0.001762","0.000252","0.003052"
"316","0.056254","0.013342","0.003165","0.003289","0.002019","0.009349","0.168825","0.000016","0.003035","0.000290","0.003972"
"317","0.056166","0.013311","0.003155","0.002213","0.002530","0.009872","0.169245","0.001072","0.004386","0.000023","0.004242"
"318","0.056077","0.013279","0.003145","0.002749","0.002404","0.009940","0.168620","0.000522","0.004095","0.000105","0.003913"
"319","0.055989","0.013248","0.003135","0.002175","0.002047","0.011094","0.168590","0.000352","0.003915","0.000203","0.002875"
"320","0.055902","0.013217","0.003125","0.001986","0.002930","0.010184","0.167393","0.000998","0.003505","0.000061","0.003049"
"321","0.055815","0.013186","0.003115","0.001924","0.002693","0.010377","0.167959","0.000900","0.002677","0.000084","0.002124"
"322","0.055728","0.013156","0.003106","0.002732","0.002293","0.009813","0.167876","0.000663","0.002567","0.000393","0.003115"
"323","0.055641","0.013125","0.003096","0.003846","0.001400","0.010415","0.168251","0.000325","0.002029","0.000872","0.003608"
"324","0.055556","0.013095","0.003086","0.004332","0.001707","0.010164","0.167579","0.000695","0.000896","0.000387","0.002234"
"325","0.055470","0.013064","0.003077","0.004385","0.002993","0.009762","0.168081","0.000498","0.001028","0.000438","0.002819"
"326","0.055385","0.013034","0.003067","0.005002","0.002211","0.010576","0.167708","0.000306","0.000144","0.000763","0.003315"
"327","0.055300","0.013004","0.003058","0.004687","0.002508","0.010466","0.167873","0.000245","0.000566","0.000230","0.003782"
"328","0.055216","0.012975","0.003049","0.005131","0.002141","0.009970","0.166919","0.000734","0.000336","0.001486","0.004197"
"329","0.055132","0.012945","0.003040","0.004536","0.002988","0.009146","0.167445","0.000015","0.000281","0.000823","0.003068"
"330","0.055048","0.012916","0.003030","0.004268","0.001850","0.009480","0.167217","0.000486","0.000447","0.001737","0.002099"
"331","0.054965","0.012886","0.003021","0.004235","0.001704","0.010732","0.167482","0.000349","0.000382","0.000776","0.002394"
"332","0.054882","0.012857","0.003012","0.003987","0.002620","0.009895","0.166677","0.000582","0.000278","0.000761","0.001920"
"333","0.054800","0.012828","0.003003","0.003081","0.002784","0.010097","0.167102","0.000141","0.001064","0.000021","0.002180"
"334","0.054718","0.012799","0.002994","0.002461","0.002411","0.009777","0.166588","0.000030","0.000708","0.000144","0.002758"
"335","0.054636","0.012771","0.002985","0.002374","0.001753","0.010636","0.166623","0.000407","0.000948","0.000848","0.001857"
"336","0.054554","0.012742","0.002976","0.003096","0.002283","0.009533","0.165558","0.000470","0.001170","0.001831","0.001192"
"337","0.054473","0.012714","0.002967","0.003093","0.001765","0.009364","0.166071","0.000260","0.000607","0.001254","0.001455"
"338","0.054393","0.012686","0.002959","0.003258","0.001108","0.010154","0.165911","0.000552","0.000850","0.001100","0.001588"
"339","0.054313","0.012658","0.002950","0.003748","0.001375","0.010403","0.166207","0.000472","0.000456","0.001063","0.000512"
"340","0.054233","0.012630","0.002941","0.004890","0.001313","0.009955","0.165487","0.000184","0.000138","0.000175","0.000609"
"341","0.054153","0.012602","0.002933","0.004066","0.002366","0.009294","0.165922","0.000614","0.000765","0.001045","0.001275"
"342","0.054074","0.012574","0.002924","0.003704","0.001381","0.009822","0.165485","0.000678","0.000924","0.000357","0.000771"
"343","0.053995","0.012547","0.002915","0.002661","0.001359","0.009437","0.165570","0.000753","0.000490","0.000075","0.000764"
"344","0.053916","0.012519","0.002907","0.002043","0.000710","0.008716","0.164590","0.000333","0.000235","0.001106","0.000472"
"345","0.053838","0.012492","0.002899","0.001164","0.001223","0.008810","0.165058","0.000164","0.000011","0.002139","0.000329"
"346","0.053760","0.012465","0.002890","0.001517","0.000807","0.008756","0.164761","0.000786","0.000773","0.001058","0.000583"
"347","0.053683","0.012438","0.002882","0.001905","0.000352","0.009788","0.164948","0.001412","0.000179","0.002010","0.000451"
"348","0.053606","0.012411","0.002874","0.001472","0.000985","0.008780","0.164108","0.000653","0.000449","0.002925","0.000789"
"349","0.053529","0.012385","0.002865","0.002052","0.000826","0.008678","0.164462","0.001489","0.000106","0.003353","0.000583"
"350","0.053452","0.012358","0.002857","0.002508","0.000233","0.008051","0.163895","0.001001","0.000286","0.003841","0.000751"
"351","0.053376","0.012332","0.002849","0.001324","0.000648","0.008589","0.163855","0.000533","0.000607","0.003090","0.000935"
"352","0.053300","0.012305","0.002841","0.001158","0.000468","0.008064","0.162775","0.000366","0.000425","0.003117","0.000276"
"353","0.053225","0.012279","0.002833","0.000877","0.000637","0.007623","0.163249","0.000220","0.000010","0.004301","0.000225"
"354","0.053149","0.012253","0.002825","0.000540","0.000224","0.008181","0.163116","0.000313","0.000391","0.004194","0.000462"
"355","0.053074","0.012227","0.002817","0.000110","0.000214","0.008108","0.163402","0.000115","0.000177","0.003348","0.001361"
"356","0.053000","0.012201","0.002809","0.000686","0.000593","0.009047","0.162742","0.000542","0.000997","0.004083","0.001404"
"357","0.052926","0.012176","0.002801","0.000077","0.000168","0.008185","0.163150","0.000327","0.002148","0.004864","0.002137"
"358","0.052852","0.012150","0.002793","0.000537","0.000952","0.008326","0.162757","0.000482","0.002523","0.005195","0.001768"
"359","0.052778","0.012125","0.002786","0.000653","0.001264","0.009368","0.162850","0.001019","0.003151","0.006242","0.002137"
"360","0.052705","0.012100","0.002778","0.000842","0.000660","0.009733","0.161940","0.000059","0.004107","0.005421","0.002988"
"361","0.052632","0.012075","0.002770","0.001497","0.000486","0.009645","0.162376","0.000293","0.003337","0.005013","0.002333"
"362","0.052559","0.012049","0.002762","0.001102","0.000615","0.009319","0.162113","0.000873","0.003784","0.004243","0.002833"
"363","0.052486","0.012025","0.002755","0.001069","0.000092","0.010095","0.162299","0.001261","0.003346","0.003686","0.001678"
"364","0.052414","0.012000","0.002747","0.000809","0.000227","0.009792","0.161522","0.000776","0.002862","0.003228","0.002299"
"365","0.052342","0.011975","0.002740","0.000890","0.000216","0.009428","0.161859","0.001747","0.003372","0.004341","0.003238"
"366","0.052271","0.011951","0.002732","0.001361","0.000404","0.009860","0.161340","0.001435","0.002220","0.004489","0.003760"
"367","0.052200","0.011926","0.002725","0.000872","0.000349","0.010094","0.161316","0.001249","0.003141","0.005423","0.003582"
"368","0.052129","0.011902","0.002717","0.001590","0.000195","0.011207","0.160308","0.000117","0.002419","0.004519","0.002492"
"369","0.052058","0.011878","0.002710","0.002189","0.001068","0.010482","0.160736","0.000348","0.001539","0.005654","0.002679"
"370","0.051988","0.011854","0.002703","0.002859","0.001046","0.010708","0.160535","0.000688","0.001387","0.006625","0.002591"
"371","0.051917","0.011830","0.002695","0.003205","0.000795","0.010357","0.160753","0.001104","0.001503","0.006230","0.002290"
"372","0.051848","0.011806","0.002688","0.002902","0.000151","0.011024","0.160051","0.000564","0.001634","0.006000","0.001719"
"373","0.051778","0.011782","0.002681","0.002340","0.000583","0.010006","0.160400","0.001459","0.001138","0.005318","0.001820"
"374","0.051709","0.011758","0.002674","0.002984","0.001745","0.009854","0.159951","0.001312","0.001357","0.004842","0.002762"
"375","0.051640","0.011735","0.002667","0.002233","0.001173","0.010661","0.159974","0.000845","0.002242","0.004698","0.001847"
"376","0.051571","0.011711","0.002660","0.001189","0.001521","0.010773","0.159042","0.000212","0.001580","0.004784","0.001560"
"377","0.051503","0.011688","0.002653","0.001436","0.001369","0.010434","0.159426","0.000988","0.001981","0.004171","0.002323"
"378","0.051434","0.011665","0.002646","0.002079","0.002244","0.009829","0.159103","0.001311","0.000962","0.003657","0.001273"
"379","0.051367","0.011642","0.002639","0.002629","0.001343","0.010302","0.159221","0.001407","0.000074","0.003316","0.000341"
"380","0.051299","0.011619","0.002632","0.001913","0.001347","0.009814","0.158412","0.000433","0.000571","0.002760","0.001006"
"381","0.051232","0.011596","0.002625","0.002833","0.002192","0.009228","0.158687","0.000855","0.001277","0.002848","0.000752"
"382","0.051164","0.011573","0.002618","0.003820","0.002512","0.009457","0.158122","0.000514","0.000376","0.002095","0.000032"
"383","0.051098","0.011551","0.002611","0.002752","0.002249","0.009336","0.158032","0.000667","0.000723","0.002335","0.000321"
"384","0.051031","0.011528","0.002604","0.002709","0.001805","0.010254","0.157011","0.000416","0.000303","0.002205","0.000237"
"385","0.050965","0.011505","0.002597","0.001767","0.002393","0.009380","0.157411","0.000251","0.000206","0.001677","0.000648"
"386","0.050899","0.011483","0.002591","0.002517","0.002100","0.009336","0.157300","0.000029","0.000917","0.001028","0.000198"
"387","0.050833","0.011461","0.002584","0.001972","0.001614","0.008697","0.157551","0.000369","0.000077","0.001538","0.000917"
"388","0.050767","0.011439","0.002577","0.000831","0.001887","0.009098","0.156970","0.000237","0.000246","0.001088","0.000728"
"389","0.050702","0.011417","0.002571","0.001193","0.001989","0.008780","0.157322","0.000569","0.000794","0.000971","0.001022"
"390","0.050637","0.011395","0.002564","0.000797","0.002993","0.008377","0.156979","0.000287","0.001086","0.000241","0.000609"
"391","0.050572","0.011373","0.002558","0.001725","0.002217","0.008907","0.157064","0.000162","0.001505","0.001039","0.001031"
"392","0.050508","0.011351","0.002551","0.002579","0.002295","0.008694","0.156256","0.000690","0.001535","0.000574","0.001364"
"393","0.050443","0.011329","0.002545","0.003322","0.001865","0.008210","0.156627","0.000130","0.001283","0.000074","0.000547"
"394","0.050379","0.011308","0.002538","0.002380","0.002465","0.007403","0.156399","0.000563","0.002049","0.000209","0.000112"
"395","0.050315","0.011286","0.002532","0.001947","0.002129","0.007536","0.156564","0.000755","0.002393","0.000055","0.000146"
"396","0.050252","0.011265","0.002525","0.001612","0.001847","0.008516","0.155874","0.000091","0.003169","0.000336","0.000326"
"397","0.050189","0.011244","0.002519","0.001962","0.002478","0.007727","0.156166","0.000425","0.002228","0.000928","0.000297"
"398","0.050125","0.011222","0.002513","0.001128","0.002502","0.007768","0.155709","0.000227","0.001985","0.001582","0.000933"
"399","0.050063","0.011201","0.002506","0.001057","0.002044","0.007390","0.155691","0.000421","0.000877","0.001878","0.000528"
"400","0.050000","0.011180","0.002500","0.000108","0.001371","0.008048","0.154790","0.000415","0.001462","0.002858","0.000163"
"401","0.049938","0.011159","0.002494","0.000260","0.001659","0.007004","0.155151","0.000095","0.001569","0.003143","0.000331"
"402","0.049875","0.011139","0.002488","0.000508","0.002652","0.006749","0.154976","0.000288","0.001441","0.002810","0.000271"
"403","0.049814","0.011118","0.002481","0.000346","0.001969","0.007315","0.155167","0.000093","0.002089","0.002940","0.000258"
"404","0.049752","0.011097","0.002475","0.000532","0.002036","0.007396","0.154543","0.000420","0.002543","0.002295","0.001209"
"405","0.049690","0.011077","0.002469","0.000340","0.001839","0.006898","0.154843","0.000375","0.002328","0.002719","0.000864"
"406","0.049629","0.011056","0.002463","0.000481","0.002619","0.006251","0.154446","0.000562","0.002747","0.002124","0.000294"
"407","0.049568","0.011036","0.002457","0.000285","0.001695","0.006528","0.154468","0.000980","0.003093","0.001639","0.000072"
"408","0.049507","0.011016","0.002451","0.000378","0.001515","0.006089","0.153633","0.000039","0.003187","0.000823","0.000011"
"409","0.049447","0.010995","0.002445","0.000063","0.000863","0.006605","0.153959","0.000115","0.003541","0.000424","0.000026"
"410","0.049386","0.010975","0.002439","0.001025","0.001170","0.006557","0.153675","0.000490","0.003589","0.000492","0.000052"
"411","0.049326","0.010955","0.002433","0.000855","0.000689","0.006394","0.153778","0.000697","0.003817","0.000392","0.000477"
"412","0.049266","0.010935","0.002427","0.000500","0.000170","0.007180","0.153055","0.000125","0.004239","0.000375","0.000603"
"413","0.049207","0.010915","0.002421","0.000381","0.000552","0.007118","0.153292","0.000884","0.004231","0.000986","0.000043"
"414","0.049147","0.010896","0.002415","0.000306","0.000308","0.006900","0.152789","0.000459","0.004504","0.000624","0.000619"
"415","0.049088","0.010876","0.002410","0.000861","0.000993","0.006280","0.152710","0.000194","0.004499","0.000125","0.001407"
"416","0.049029","0.010856","0.002404","0.000680","0.000151","0.006653","0.151791","0.000455","0.005036","0.000218","0.001214"
"417","0.048970","0.010837","0.002398","0.000125","0.000147","0.007683","0.152122","0.000145","0.005767","0.000724","0.001454"
"418","0.048912","0.010817","0.002392","0.000220","0.000986","0.007146","0.151968","0.000271","0.006228","0.000448","0.002062"
"419","0.048853","0.010798","0.002387","0.001055","0.001127","0.007474","0.152151","0.000237","0.006413","0.000384","0.001182"
"420","0.048795","0.010779","0.002381","0.000209","0.000979","0.007297","0.151571","0.000406","0.006602","0.000280","0.000388"
"421","0.048737","0.010759","0.002375","0.000007","0.000531","0.008065","0.151851","0.000189","0.006660","0.000374","0.000561"
"422","0.048679","0.010740","0.002370","0.000793","0.001045","0.007231","0.151487","0.000155","0.007008","0.000588","0.000184"
"423","0.048622","0.010721","0.002364","0.000038","0.000639","0.007233","0.151515","0.000279","0.006108","0.000211","0.000469"
"424","0.048564","0.010702","0.002358","0.000576","0.000229","0.008017","0.150733","0.000499","0.005637","0.000377","0.000170"
"425","0.048507","0.010683","0.002353","0.000101","0.000599","0.008292","0.151034","0.000037","0.004677","0.000272","0.000300"
"426","0.048450","0.010665","0.002347","0.000084","0.000616","0.008057","0.150775","0.000662","0.004560","0.000551","0.000597"
"427","0.048393","0.010646","0.002342","0.000477","0.001493","0.007631","0.150878","0.001283","0.004855","0.000086","0.000243"
"428","0.048337","0.010627","0.002336","0.000725","0.000781","0.008178","0.150201","0.000804","0.004277","0.000585","0.000226"
"429","0.048280","0.010609","0.002331","0.000082","0.000895","0.007840","0.150425","0.001588","0.004234","0.000666","0.000277"
"430","0.048224","0.010590","0.002326","0.000120","0.000416","0.007409","0.149958","0.001319","0.004446","0.000140","0.000797"
"431","0.048168","0.010572","0.002320","0.000046","0.000854","0.007705","0.149892","0.001051","0.004172","0.000502","0.000763"
"432","0.048113","0.010553","0.002315","0.000502","0.000669","0.007759","0.149027","0.000060","0.003519","0.000976","0.000605"
"433","0.048057","0.010535","0.002309","0.000078","0.000398","0.008664","0.149322","0.000191","0.002670","0.000862","0.000983"
"434","0.048002","0.010517","0.002304","0.000061","0.001019","0.007970","0.149113","0.000457","0.002316","0.000278","0.001918"
"435","0.047946","0.010499","0.002299","0.000206","0.000910","0.008060","0.149240","0.000722","0.002578","0.000118","0.001915"
"436","0.047891","0.010481","0.002294","0.000180","0.000557","0.007667","0.148624","0.000505","0.002282","0.000484","0.001873"
"437","0.047836","0.010463","0.002288","0.000825","0.000094","0.008179","0.148857","0.001422","0.002384","0.001328","0.002694"
"438","0.047782","0.010445","0.002283","0.001683","0.000138","0.007905","0.148446","0.001380","0.001803","0.000815","0.002296"
"439","0.047727","0.010427","0.002278","0.002365","0.001085","0.007651","0.148417","0.001338","0.001818","0.000735","0.002204"
"440","0.047673","0.010409","0.002273","0.003032","0.000480","0.008241","0.147612","0.000542","0.001734","0.000489","0.002036"
"441","0.047619","0.010391","0.002268","0.003007","0.000631","0.008243","0.147873","0.000992","0.001014","0.000333","0.001445"
"442","0.047565","0.010374","0.002262","0.002401","0.000384","0.007833","0.147564","0.001246","0.000120","0.000096","0.001209"
"443","0.047511","0.010356","0.002257","0.001933","0.001046","0.007188","0.147611","0.001043","0.000553","0.000487","0.000308"
"444","0.047458","0.010339","0.002252","0.001227","0.000194","0.007455","0.146906","0.000256","0.000976","0.000083","0.000888"
"445","0.047405","0.010321","0.002247","0.000774","0.000054","0.008367","0.147080","0.000702","0.000568","0.000005","0.001557"
"446","0.047351","0.010304","0.002242","0.000668","0.000670","0.007767","0.146573","0.000502","0.000069","0.000056","0.000897"
"447","0.047298","0.010287","0.002237","0.001088","0.000845","0.007834","0.146453","0.000754","0.000405","0.000055","0.000627"
"448","0.047246","0.010269","0.002232","0.001947","0.000494","0.007653","0.145573","0.000043","0.000134","0.000502","0.000249"
"449","0.047193","0.010252","0.002227","0.001444","0.000002","0.008336","0.145845","0.000299","0.000477","0.000838","0.000295"
"450","0.047140","0.010235","0.002222","0.002142","0.000369","0.007495","0.145690","0.000308","0.000019","0.000852","0.000274"
"451","0.047088","0.010218","0.002217","0.001869","0.000034","0.007356","0.145835","0.000017","0.000092","0.001008","0.000348"
"452","0.047036","0.010201","0.002212","0.002016","0.000500","0.007880","0.145296","0.000589","0.000802","0.000873","0.000307"
"453","0.046984","0.010184","0.002208","0.001344","0.000392","0.008157","0.145526","0.000011","0.000655","0.000870","0.000462"
"454","0.046932","0.010167","0.002203","0.001206","0.000432","0.007754","0.145181","0.000022","0.000481","0.000764","0.001048"
"455","0.046881","0.010151","0.002198","0.001916","0.000353","0.007283","0.145189","0.000330","0.001185","0.000202","0.001154"
"456","0.046829","0.010134","0.002193","0.001423","0.000402","0.007639","0.144465","0.000524","0.001591","0.000424","0.000897"
"457","0.046778","0.010117","0.002188","0.001356","0.000474","0.007363","0.144712","0.000218","0.001198","0.000027","0.000464"
"458","0.046727","0.010101","0.002183","0.002187","0.000942","0.006805","0.144462","0.000230","0.000366","0.000198","0.000276"
"459","0.046676","0.010084","0.002179","0.002457","0.000528","0.006028","0.144536","0.000602","0.000880","0.000425","0.000814"
"460","0.046625","0.010068","0.002174","0.002231","0.000924","0.006009","0.143908","0.000274","0.001625","0.000104","0.001424"
"461","0.046575","0.010051","0.002169","0.002022","0.001289","0.006758","0.144088","0.001071","0.001665","0.000726","0.002195"
"462","0.046524","0.010035","0.002165","0.002131","0.000869","0.006833","0.143650","0.000814","0.001027","0.001031","0.002631"
"463","0.046474","0.010019","0.002160","0.001637","0.000946","0.006707","0.143573","0.000769","0.000277","0.001436","0.002004"
"464","0.046424","0.010003","0.002155","0.001052","0.000221","0.006293","0.142772","0.000071","0.000714","0.001858","0.001675"
