"Sample","N^-0.5","N^-0.75","N^-1","White Noise","Golden Ratio","Golden Ratio2","Hammersley","Sobol","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"53","0.137361","0.050909","0.018868","0.046003","0.009043","0.014881","0.205295","0.005665","0.008293","0.011714","0.008825"
"54","0.136083","0.050200","0.018519","0.050761","0.007288","0.021251","0.202924","0.004728","0.004338","0.015049","0.012110"
"55","0.134840","0.049514","0.018182","0.049988","0.012773","0.015707","0.204269","0.002748","0.001594","0.007576","0.006896"
"56","0.133631","0.048849","0.017857","0.050573","0.011383","0.017064","0.198273","0.001994","0.002330","0.007196","0.007553"
"57","0.132453","0.048205","0.017544","0.049430","0.009548","0.013160","0.202293","0.002850","0.000909","0.005805","0.007820"
"58","0.131306","0.047580","0.017241","0.048073","0.004751","0.016297","0.201046","0.004845","0.005881","0.003815","0.009263"
"59","0.130189","0.046974","0.016949","0.045990","0.006770","0.015608","0.203033","0.004951","0.006924","0.002760","0.010624"
"60","0.129099","0.046386","0.016667","0.043335","0.013764","0.013611","0.198290","0.001333","0.009422","0.009849","0.004705"
"61","0.128037","0.045814","0.016393","0.046124","0.009825","0.018217","0.201360","0.001068","0.005778","0.011255","0.008828"
"62","0.127000","0.045259","0.016129","0.048338","0.011839","0.017405","0.198489","0.001273","0.005705","0.007911","0.006892"
"63","0.125988","0.044719","0.015873","0.044668","0.010070","0.015459","0.198993","0.000810","0.002607","0.012533","0.005717"
"64","0.125000","0.044194","0.015625","0.044785","0.014470","0.011097","0.193076","0.005406","0.003008","0.018020","0.007774"
"65","0.124035","0.043683","0.015385","0.048046","0.008772","0.012356","0.196848","0.001961","0.001522","0.021812","0.007951"
"66","0.123091","0.043186","0.015152","0.050675","0.008399","0.018515","0.197075","0.001629","0.006130","0.016782","0.005032"
"67","0.122169","0.042702","0.014925","0.052069","0.013245","0.014288","0.199717","0.002376","0.006992","0.020218","0.004686"
"68","0.121268","0.042230","0.014706","0.052397","0.014064","0.015702","0.196823","0.006679","0.007751","0.017346","0.004516"
"69","0.120386","0.041770","0.014493","0.051194","0.012597","0.014002","0.200064","0.003415","0.003445","0.017436","0.001973"
"70","0.119523","0.041322","0.014286","0.050350","0.009627","0.018264","0.198767","0.004104","0.005678","0.015266","0.006597"
"71","0.118678","0.040884","0.014085","0.047254","0.012412","0.012733","0.200220","0.003766","0.002599","0.016286","0.004084"
"72","0.117851","0.040458","0.013889","0.050178","0.009982","0.011955","0.196033","0.008673","0.001495","0.016863","0.000753"
"73","0.117041","0.040041","0.013699","0.051139","0.007225","0.016193","0.199271","0.005899","0.002610","0.014730","0.002972"
"74","0.116248","0.039635","0.013514","0.047178","0.008860","0.016823","0.198753","0.002622","0.002679","0.020089","0.001082"
"75","0.115470","0.039238","0.013333","0.048912","0.008795","0.014607","0.200637","0.000567","0.006347","0.018624","0.001489"
"76","0.114708","0.038850","0.013158","0.050067","0.013608","0.011915","0.197335","0.002601","0.002438","0.015972","0.000850"
"77","0.113961","0.038471","0.012987","0.043812","0.009356","0.014131","0.199961","0.001466","0.001919","0.011249","0.004104"
"78","0.113228","0.038100","0.012821","0.038204","0.009601","0.012421","0.198108","0.000430","0.002248","0.016764","0.007344"
"79","0.112509","0.037738","0.012658","0.039741","0.006882","0.009272","0.198862","0.002278","0.004910","0.017162","0.005871"
"80","0.111803","0.037384","0.012500","0.040954","0.009215","0.009972","0.194488","0.007439","0.010203","0.012455","0.009022"
"81","0.111111","0.037037","0.012346","0.044523","0.007763","0.010067","0.197453","0.006225","0.005278","0.016480","0.005109"
"82","0.110432","0.036698","0.012195","0.044483","0.006090","0.014646","0.197307","0.004371","0.008822","0.018714","0.000877"
"83","0.109764","0.036366","0.012048","0.043434","0.009048","0.010392","0.199221","0.002562","0.008017","0.016306","0.002806"
"84","0.109109","0.036040","0.011905","0.043862","0.008461","0.010245","0.196555","0.003225","0.012576","0.020332","0.004580"
"85","0.108465","0.035722","0.011765","0.041419","0.006296","0.007600","0.199057","0.001732","0.010813","0.016886","0.002439"
"86","0.107833","0.035410","0.011628","0.037887","0.002848","0.009991","0.197687","0.001876","0.006136","0.014725","0.000737"
"87","0.107211","0.035104","0.011494","0.034150","0.003864","0.008197","0.198619","0.002017","0.006087","0.014402","0.002288"
"88","0.106600","0.034805","0.011364","0.030169","0.008442","0.006391","0.194916","0.001695","0.002264","0.015006","0.000803"
"89","0.106000","0.034511","0.011236","0.031535","0.005202","0.008966","0.197498","0.000886","0.001240","0.012154","0.003317"
"90","0.105409","0.034223","0.011111","0.032440","0.005589","0.009019","0.196785","0.002406","0.001249","0.010248","0.000951"
"91","0.104828","0.033941","0.010989","0.031593","0.004288","0.012551","0.198131","0.001792","0.002767","0.011529","0.000329"
"92","0.104257","0.033663","0.010870","0.033745","0.007405","0.009404","0.195137","0.001756","0.003968","0.011672","0.001789"
"93","0.103695","0.033392","0.010753","0.032894","0.003185","0.010052","0.197174","0.000714","0.007064","0.010053","0.000232"
"94","0.103142","0.033125","0.010638","0.034989","0.002292","0.014009","0.195366","0.000138","0.004515","0.010332","0.000449"
"95","0.102598","0.032863","0.010526","0.034500","0.004891","0.015157","0.195756","0.001586","0.004792","0.008521","0.002821"
