"Sample","N^-0.5","N^-0.75","N^-1","Golden Ratio","Golden Ratio Spiral","R2","R2 Spiral","R2 Jittered","White Noise","Hammersley","Sobol","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"42","0.154303","0.060613","0.023810","0.011831","0.138805","0.031206","0.003747","0.038492","0.010572","0.240263","0.012503","0.029221","0.025890","0.004956"
"43","0.152499","0.059552","0.023256","0.011497","0.139831","0.034230","0.006197","0.042826","0.013731","0.240177","0.008698","0.023872","0.023913","0.006603"
"44","0.150756","0.058534","0.022727","0.006484","0.138107","0.039066","0.003126","0.042123","0.017220","0.239609","0.010481","0.018386","0.027270","0.007596"
"45","0.149071","0.057556","0.022222","0.009152","0.140555","0.034654","0.008120","0.045699","0.014156","0.239646","0.002398","0.022882","0.026032","0.017284"
"46","0.147442","0.056615","0.021739","0.007202","0.140471","0.037878","0.003114","0.034792","0.008470","0.239200","0.000398","0.025521","0.021511","0.017304"
"47","0.145865","0.055709","0.021277","0.012507","0.141807","0.038989","0.005305","0.034902","0.000952","0.238996","0.004072","0.027131","0.020490","0.011714"
"48","0.144338","0.054836","0.020833","0.013266","0.140718","0.037622","0.001567","0.030557","0.005898","0.238314","0.008814","0.025238","0.020856","0.009575"
"49","0.142857","0.053995","0.020408","0.009742","0.141071","0.029186","0.006719","0.032861","0.008295","0.238508","0.005072","0.018355","0.016645","0.005663"
"50","0.141421","0.053183","0.020000","0.013133","0.139051","0.029474","0.008095","0.036997","0.011460","0.238214","0.001948","0.016977","0.013329","0.002934"
"51","0.140028","0.052399","0.019608","0.012297","0.140686","0.029054","0.005013","0.032208","0.003892","0.238161","0.000479","0.012164","0.008442","0.000811"
"52","0.138675","0.051641","0.019231","0.007461","0.140141","0.022512","0.006577","0.035659","0.000431","0.237626","0.002146","0.013752","0.005161","0.005339"
"53","0.137361","0.050909","0.018868","0.009231","0.140852","0.024931","0.002131","0.035589","0.003669","0.237695","0.008632","0.015222","0.000496","0.009374"
"54","0.136083","0.050200","0.018519","0.007044","0.139467","0.022493","0.000023","0.039216","0.001374","0.237278","0.005267","0.013238","0.003405","0.013390"
"55","0.134840","0.049514","0.018182","0.011153","0.141303","0.025330","0.004762","0.030495","0.002249","0.237105","0.002876","0.017087","0.002678","0.011344"
"56","0.133631","0.048849","0.017857","0.011353","0.141159","0.029067","0.000909","0.030128","0.005468","0.236451","0.000580","0.006367","0.006740","0.006273"
"57","0.132453","0.048205","0.017544","0.007837","0.138974","0.027368","0.008937","0.028096","0.006135","0.236584","0.005405","0.007455","0.000208","0.002959"
"58","0.131306","0.047580","0.017241","0.010366","0.139964","0.022276","0.008144","0.031232","0.003266","0.236231","0.003641","0.000842","0.003312","0.010717"
"59","0.130189","0.046974","0.016949","0.009217","0.139093","0.023495","0.003904","0.032923","0.006717","0.236119","0.003790","0.001614","0.007474","0.007317"
"60","0.129099","0.046386","0.016667","0.013855","0.139316","0.027194","0.003421","0.029656","0.012407","0.235525","0.000232","0.004591","0.009260","0.003983"
"61","0.128037","0.045814","0.016393","0.014860","0.137745","0.021875","0.013690","0.031775","0.008932","0.235537","0.002538","0.007448","0.008701","0.008376"
"62","0.127000","0.045259","0.016129","0.012394","0.138971","0.023256","0.011857","0.034350","0.005722","0.235065","0.000933","0.011316","0.005324","0.007785"
"63","0.125988","0.044719","0.015873","0.015508","0.138494","0.022871","0.007707","0.032596","0.009682","0.234836","0.002852","0.010273","0.005924","0.006918"
"64","0.125000","0.044194","0.015625","0.015186","0.138993","0.026062","0.005628","0.026860","0.012836","0.234127","0.006568","0.013057","0.002765","0.003888"
"65","0.124035","0.043683","0.015385","0.011575","0.137864","0.017390","0.007532","0.027241","0.011267","0.234364","0.003078","0.016274","0.005622","0.002033"
"66","0.123091","0.043186","0.015152","0.013351","0.139259","0.016278","0.005522","0.030511","0.008546","0.234112","0.005080","0.016978","0.006614","0.001727"
"67","0.122169","0.042702","0.014925","0.011865","0.139084","0.019240","0.002881","0.025487","0.006559","0.234101","0.006089","0.009459","0.001828","0.004170"
"68","0.121268","0.042230","0.014706","0.015567","0.137368","0.021867","0.000731","0.026381","0.007114","0.233606","0.009538","0.007796","0.000195","0.001935"
"69","0.120386","0.041770","0.014493","0.016038","0.138087","0.022170","0.004546","0.025215","0.004484","0.233716","0.006208","0.009398","0.002673","0.001601"
"70","0.119523","0.041322","0.014286","0.013408","0.137334","0.018562","0.001213","0.027539","0.002516","0.233339","0.007158","0.011085","0.001725","0.000719"
"71","0.118678","0.040884","0.014085","0.015801","0.138849","0.019952","0.000694","0.019360","0.006916","0.233205","0.008961","0.007965","0.006452","0.003165"
"72","0.117851","0.040458","0.013889","0.015117","0.138930","0.021865","0.007678","0.018215","0.004082","0.232588","0.011691","0.010553","0.007288","0.000349"
"73","0.117041","0.040041","0.013699","0.019286","0.137629","0.018828","0.007989","0.021152","0.000779","0.232759","0.008032","0.013152","0.010042","0.008446"
"74","0.116248","0.039635","0.013514","0.020406","0.138503","0.021146","0.005669","0.022541","0.001601","0.232443","0.005316","0.013589","0.010108","0.010783"
"75","0.115470","0.039238","0.013333","0.018590","0.138033","0.020982","0.006553","0.023249","0.003916","0.232368","0.002672","0.010832","0.006870","0.011783"
"76","0.114708","0.038850","0.013158","0.021486","0.136263","0.023633","0.005485","0.019304","0.002389","0.231810","0.004442","0.010061","0.005090","0.014302"
"77","0.113961","0.038471","0.012987","0.021470","0.136577","0.017437","0.007997","0.020219","0.002929","0.231858","0.001444","0.009550","0.003422","0.011952"
"78","0.113228","0.038100","0.012821","0.018643","0.135632","0.017390","0.005304","0.021560","0.005594","0.231420","0.001134","0.011934","0.007229","0.009308"
"79","0.112509","0.037738","0.012658","0.020396","0.136654","0.015771","0.008969","0.018438","0.003611","0.231226","0.003647","0.011766","0.006528","0.013594"
"80","0.111803","0.037384","0.012500","0.019359","0.136439","0.017824","0.009411","0.020537","0.005954","0.230549","0.006554","0.006715","0.003539","0.010717"
"81","0.111111","0.037037","0.012346","0.022762","0.135053","0.019731","0.007578","0.019966","0.008109","0.230751","0.004857","0.009201","0.000975","0.012221"
"82","0.110432","0.036698","0.012195","0.023396","0.135538","0.017371","0.009946","0.022259","0.006939","0.230466","0.003964","0.000301","0.000176","0.016070"
"83","0.109764","0.036366","0.012048","0.021351","0.134867","0.019080","0.006996","0.016450","0.004600","0.230423","0.003091","0.000979","0.002095","0.012906"
"84","0.109109","0.036040","0.011905","0.023633","0.135989","0.020360","0.007265","0.016225","0.007421","0.229894","0.003147","0.003052","0.003523","0.015701"
"85","0.108465","0.035722","0.011765","0.023254","0.135969","0.019139","0.005729","0.014014","0.009960","0.229972","0.005531","0.002926","0.006152","0.018010"
"86","0.107833","0.035410","0.011628","0.020300","0.134875","0.014586","0.006902","0.015890","0.012691","0.229564","0.004649","0.003900","0.005663","0.016829"
"87","0.107211","0.035104","0.011494","0.021562","0.135485","0.014851","0.004372","0.018470","0.014990","0.229399","0.003788","0.005788","0.008450","0.014758"
"88","0.106600","0.034805","0.011364","0.020264","0.135026","0.017373","0.005019","0.016414","0.017363","0.228751","0.001527","0.004247","0.008080","0.014926"
"89","0.106000","0.034511","0.011236","0.023067","0.133590","0.013242","0.007163","0.018163","0.013058","0.228892","0.004846","0.003661","0.006277","0.014300"
"90","0.105409","0.034223","0.011111","0.023326","0.133748","0.014233","0.004923","0.018772","0.012883","0.228545","0.002579","0.005247","0.008593","0.011616"
"91","0.104828","0.033941","0.010989","0.021118","0.132912","0.013034","0.009271","0.017911","0.014883","0.228442","0.002423","0.006100","0.003482","0.010112"
"92","0.104257","0.033663","0.010870","0.022914","0.133636","0.014860","0.006585","0.013698","0.016203","0.227853","0.000274","0.004267","0.005274","0.011415"
"93","0.103695","0.033392","0.010753","0.022258","0.133371","0.007949","0.006536","0.013912","0.015422","0.227873","0.003464","0.006825","0.004496","0.010657"
"94","0.103142","0.033125","0.010638","0.025503","0.132196","0.006818","0.012630","0.016408","0.017020","0.227406","0.003303","0.003513","0.006835","0.009319"
"95","0.102598","0.032863","0.010526","0.026311","0.132486","0.009064","0.011495","0.012828","0.019236","0.227183","0.001172","0.005842","0.001708","0.008748"
"96","0.102062","0.032606","0.010417","0.024749","0.131854","0.010163","0.008775","0.013989","0.020838","0.226477","0.001390","0.008201","0.000655","0.007097"
"97","0.101535","0.032353","0.010309","0.027005","0.131745","0.010593","0.007830","0.012395","0.023079","0.226697","0.000437","0.008145","0.001877","0.004965"
"98","0.101015","0.032106","0.010204","0.026905","0.130780","0.007321","0.006376","0.013937","0.022727","0.226429","0.000099","0.005414","0.001629","0.005042"
"99","0.100504","0.031862","0.010101","0.024513","0.131180","0.008109","0.004886","0.016216","0.023141","0.226403","0.000150","0.003427","0.000877","0.009003"
"100","0.100000","0.031623","0.010000","0.025857","0.130713","0.008399","0.002865","0.014931","0.021694","0.225891","0.001284","0.000309","0.001725","0.006736"
"101","0.099504","0.031388","0.009901","0.024921","0.129488","0.006058","0.005947","0.017045","0.023025","0.225986","0.003112","0.001101","0.001936","0.007620"
"102","0.099015","0.031157","0.009804","0.027634","0.129514","0.008057","0.003766","0.017734","0.024875","0.225595","0.000682","0.000185","0.000116","0.005959"
"103","0.098533","0.030929","0.009709","0.028079","0.128742","0.007393","0.008370","0.019939","0.026429","0.225446","0.000943","0.001573","0.000517","0.003687"
"104","0.098058","0.030706","0.009615","0.026315","0.128425","0.009256","0.008453","0.016863","0.023628","0.224813","0.002368","0.002308","0.001150","0.001261"
"105","0.097590","0.030487","0.009524","0.028126","0.127382","0.011496","0.007179","0.017425","0.024577","0.224970","0.001815","0.000033","0.000032","0.003976"
"106","0.097129","0.030271","0.009434","0.027740","0.127516","0.011350","0.007510","0.017136","0.026561","0.224639","0.001239","0.001438","0.000447","0.004942"
"107","0.096674","0.030058","0.009346","0.025209","0.126897","0.009217","0.005227","0.019013","0.028649","0.224551","0.001987","0.001008","0.000981","0.003103"
"108","0.096225","0.029849","0.009259","0.026185","0.125690","0.010256","0.006574","0.021016","0.027432","0.223978","0.000117","0.000682","0.002845","0.001868"
"109","0.095783","0.029644","0.009174","0.025027","0.125503","0.012445","0.004863","0.019951","0.029418","0.224013","0.002046","0.000480","0.002034","0.000433"
"110","0.095346","0.029441","0.009091","0.027300","0.124635","0.010251","0.007457","0.021628","0.024397","0.223561","0.001507","0.000645","0.001984","0.000090"
