"Sample","N^-0.5","N^-0.75","N^-1","White Noise","Golden Ratio","Golden Ratio2","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"64","0.125000","0.044194","0.015625","0.046875","0.000000","0.031250","0.000000","0.031250","0.000000"
"65","0.124035","0.043683","0.015385","0.038462","0.007692","0.023077","0.007692","0.038462","0.007692"
"66","0.123091","0.043186","0.015152","0.045455","0.000000","0.030303","0.015152","0.045455","0.015152"
"67","0.122169","0.042702","0.014925","0.037314","0.007463","0.037313","0.007463","0.037313","0.022388"
"68","0.121268","0.042230","0.014706","0.029412","0.000000","0.044118","0.014706","0.044118","0.029412"
"69","0.120386","0.041770","0.014493","0.036232","0.007246","0.036232","0.021739","0.036232","0.036232"
"70","0.119523","0.041322","0.014286","0.028572","0.000000","0.028571","0.028572","0.042857","0.042857"
"71","0.118678","0.040884","0.014085","0.035211","0.007042","0.021127","0.021127","0.049296","0.035211"
"72","0.117851","0.040458","0.013889","0.041667","0.013889","0.027778","0.013889","0.041667","0.041667"
"73","0.117041","0.040041","0.013699","0.047945","0.006849","0.034246","0.020548","0.034247","0.047945"
"74","0.116248","0.039635","0.013514","0.054054","0.000000","0.027027","0.027027","0.027027","0.054054"
"75","0.115470","0.039238","0.013333","0.046667","0.006667","0.033333","0.020000","0.020000","0.046667"
"76","0.114708","0.038850","0.013158","0.039474","0.013158","0.026316","0.013158","0.026316","0.039474"
"77","0.113961","0.038471","0.012987","0.045455","0.006494","0.032467","0.019481","0.032467","0.032468"
"78","0.113228","0.038100","0.012821","0.051282","0.000000","0.025641","0.012821","0.038462","0.025641"
"79","0.112509","0.037738","0.012658","0.056962","0.006329","0.031645","0.006329","0.044304","0.031646"
"80","0.111803","0.037384","0.012500","0.050000","0.012500","0.037500","0.000000","0.050000","0.025000"
"81","0.111111","0.037037","0.012346","0.055556","0.006173","0.030864","0.006173","0.043210","0.030864"
"82","0.110432","0.036698","0.012195","0.060976","0.012195","0.024390","0.012195","0.036585","0.024390"
"83","0.109764","0.036366","0.012048","0.066265","0.006024","0.030120","0.018072","0.030120","0.018072"
"84","0.109109","0.036040","0.011905","0.059524","0.011905","0.035714","0.011905","0.023809","0.011905"
"85","0.108465","0.035722","0.011765","0.064706","0.005882","0.029412","0.005882","0.017647","0.005882"
"86","0.107833","0.035410","0.011628","0.069768","0.011628","0.023256","0.011628","0.023256","0.011628"
"87","0.107211","0.035104","0.011494","0.074713","0.017241","0.028736","0.005747","0.017241","0.005747"
"88","0.106600","0.034805","0.011364","0.068182","0.011364","0.034091","0.011364","0.022727","0.000000"
"89","0.106000","0.034511","0.011236","0.073034","0.005618","0.039326","0.005618","0.016854","0.005618"
"90","0.105409","0.034223","0.011111","0.077778","0.000000","0.033333","0.000000","0.011111","0.011111"
"91","0.104828","0.033941","0.010989","0.071429","0.005495","0.027472","0.005495","0.016483","0.016483"
"92","0.104257","0.033663","0.010870","0.076087","0.010870","0.021739","0.000000","0.010870","0.021739"
"93","0.103695","0.033392","0.010753","0.080645","0.005376","0.026882","0.005376","0.016129","0.026882"
"94","0.103142","0.033125","0.010638","0.074468","0.000000","0.031915","0.010638","0.021277","0.021277"
"95","0.102598","0.032863","0.010526","0.068421","0.005263","0.026316","0.005263","0.026316","0.015790"
"96","0.102062","0.032606","0.010417","0.072917","0.000000","0.031250","0.000000","0.020833","0.010417"
"97","0.101535","0.032353","0.010309","0.077320","0.005155","0.025773","0.005155","0.015464","0.005155"
"98","0.101015","0.032106","0.010204","0.071429","0.000000","0.020408","0.000000","0.020408","0.000000"
"99","0.100504","0.031862","0.010101","0.075758","0.005050","0.015151","0.005050","0.025252","0.005051"
"100","0.100000","0.031623","0.010000","0.070000","0.000000","0.020000","0.000000","0.030000","0.010000"
"101","0.099504","0.031388","0.009901","0.074258","0.004950","0.024752","0.004950","0.024752","0.014852"
"102","0.099015","0.031157","0.009804","0.078432","0.009804","0.019608","0.009804","0.019608","0.009804"
"103","0.098533","0.030929","0.009709","0.082524","0.004854","0.014563","0.014563","0.014563","0.014563"
"104","0.098058","0.030706","0.009615","0.076923","0.009615","0.019231","0.019231","0.019231","0.009615"
"105","0.097590","0.030487","0.009524","0.071429","0.004762","0.023809","0.023809","0.014286","0.014286"
"106","0.097129","0.030271","0.009434","0.066038","0.009434","0.018868","0.018868","0.009434","0.018868"
"107","0.096674","0.030058","0.009346","0.070094","0.004673","0.014019","0.023364","0.014019","0.014019"
"108","0.096225","0.029849","0.009259","0.064815","0.000000","0.018518","0.027778","0.018518","0.009259"
"109","0.095783","0.029644","0.009174","0.059633","0.004587","0.013761","0.032110","0.022936","0.004587"
"110","0.095346","0.029441","0.009091","0.063637","0.000000","0.018182","0.036364","0.018182","0.009091"
"111","0.094916","0.029242","0.009009","0.067568","0.004504","0.013513","0.040541","0.022522","0.004505"
"112","0.094491","0.029046","0.008929","0.062500","0.000000","0.017857","0.035714","0.026786","0.008929"
"113","0.094072","0.028853","0.008850","0.057522","0.004425","0.013274","0.030973","0.030973","0.013274"
"114","0.093659","0.028663","0.008772","0.052632","0.008772","0.008772","0.035088","0.026316","0.017544"
"115","0.093250","0.028476","0.008696","0.047826","0.004348","0.013043","0.039131","0.021739","0.021739"
"116","0.092848","0.028292","0.008621","0.051724","0.000000","0.017241","0.034483","0.017241","0.017241"
"117","0.092450","0.028110","0.008547","0.055556","0.004274","0.021367","0.029915","0.021367","0.012821"
"118","0.092057","0.027931","0.008475","0.050848","0.000000","0.016949","0.025424","0.016949","0.008475"
"119","0.091670","0.027755","0.008403","0.054622","0.004202","0.012605","0.029412","0.021008","0.012605"
"120","0.091287","0.027581","0.008333","0.050000","0.000000","0.016667","0.025000","0.016667","0.016667"
"121","0.090909","0.027410","0.008264","0.045455","0.004132","0.020661","0.020661","0.012397","0.012397"
"122","0.090536","0.027241","0.008197","0.049180","0.000000","0.016393","0.016394","0.008197","0.008197"
"123","0.090167","0.027075","0.008130","0.052846","0.004065","0.012195","0.012195","0.004065","0.004065"
"124","0.089803","0.026911","0.008065","0.056452","0.000000","0.016129","0.008065","0.008064","0.000000"
