"Sample","N^-0.5","N^-0.75","N^-1","White Noise","Golden Ratio","Golden Ratio2","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"849","0.034320","0.006358","0.001178","0.005301","0.000589","0.001767","0.015901","0.004122","0.002945"
"850","0.034300","0.006352","0.001176","0.005883","0.000000","0.001176","0.016471","0.003529","0.003530"
"851","0.034280","0.006347","0.001175","0.005288","0.000588","0.001762","0.015864","0.002938","0.002938"
"852","0.034259","0.006341","0.001174","0.004695","0.001174","0.001173","0.016432","0.003521","0.002348"
"853","0.034239","0.006336","0.001172","0.004104","0.000586","0.001758","0.015827","0.002931","0.002931"
"854","0.034219","0.006330","0.001171","0.003513","0.000000","0.001171","0.016394","0.003513","0.003513"
"855","0.034199","0.006324","0.001170","0.004094","0.000585","0.000584","0.015790","0.002924","0.002924"
"856","0.034179","0.006319","0.001168","0.004673","0.000000","0.001168","0.015187","0.002336","0.003505"
"857","0.034159","0.006313","0.001167","0.004085","0.000583","0.000583","0.014586","0.002917","0.004084"
"858","0.034139","0.006308","0.001166","0.004663","0.000000","0.000000","0.015152","0.003496","0.003497"
"859","0.034120","0.006302","0.001164","0.005239","0.000582","0.000582","0.014552","0.002910","0.004075"
"860","0.034100","0.006297","0.001163","0.004652","0.000000","0.000000","0.013954","0.003488","0.004652"
"861","0.034080","0.006291","0.001161","0.005227","0.000581","0.000580","0.013357","0.002903","0.005227"
"862","0.034060","0.006286","0.001160","0.005801","0.000000","0.000000","0.013921","0.003480","0.005801"
"863","0.034040","0.006280","0.001159","0.006374","0.000579","0.000579","0.014485","0.004055","0.006374"
"864","0.034021","0.006275","0.001157","0.005788","0.000000","0.000000","0.013889","0.003472","0.006945"
"865","0.034001","0.006270","0.001156","0.006359","0.000578","0.000578","0.014451","0.004046","0.006359"
"866","0.033981","0.006264","0.001155","0.005774","0.000000","0.000000","0.015012","0.004619","0.006929"
"867","0.033962","0.006259","0.001153","0.005191","0.000577","0.000577","0.014418","0.004037","0.007497"
"868","0.033942","0.006253","0.001152","0.004609","0.001152","0.000000","0.013825","0.003456","0.006913"
"869","0.033923","0.006248","0.001151","0.005179","0.000576","0.000575","0.013234","0.002877","0.007480"
"870","0.033903","0.006243","0.001149","0.005748","0.001150","0.001149","0.013793","0.003448","0.008046"
"871","0.033884","0.006237","0.001148","0.005167","0.000574","0.000574","0.013203","0.002870","0.008611"
"872","0.033864","0.006232","0.001147","0.004588","0.001147","0.001146","0.013762","0.003440","0.009175"
"873","0.033845","0.006226","0.001145","0.005155","0.001718","0.000572","0.014319","0.002864","0.008591"
"874","0.033826","0.006221","0.001144","0.004577","0.002289","0.001144","0.014874","0.002288","0.009154"
"875","0.033806","0.006216","0.001143","0.005143","0.001715","0.001714","0.015429","0.002857","0.009715"
"876","0.033787","0.006210","0.001142","0.005708","0.001142","0.001141","0.015982","0.002283","0.009133"
"877","0.033768","0.006205","0.001140","0.005132","0.001711","0.001710","0.016534","0.001710","0.008552"
"878","0.033748","0.006200","0.001139","0.005695","0.001139","0.002278","0.017085","0.002278","0.009112"
"879","0.033729","0.006195","0.001138","0.005120","0.001707","0.001706","0.016496","0.001706","0.008533"
"880","0.033710","0.006189","0.001136","0.005682","0.001137","0.001136","0.017046","0.001136","0.007955"
"881","0.033691","0.006184","0.001135","0.005108","0.001703","0.001702","0.016459","0.000567","0.008513"
"882","0.033672","0.006179","0.001134","0.005669","0.001134","0.002267","0.015873","0.000000","0.007937"
"883","0.033653","0.006173","0.001133","0.006229","0.000566","0.001698","0.016422","0.000566","0.007362"
"884","0.033634","0.006168","0.001131","0.006788","0.000000","0.002262","0.015837","0.000000","0.007919"
"885","0.033615","0.006163","0.001130","0.006215","0.000565","0.001695","0.015254","0.000565","0.007345"
"886","0.033596","0.006158","0.001129","0.006772","0.001129","0.002257","0.014673","0.000000","0.006772"
"887","0.033577","0.006153","0.001127","0.007329","0.000564","0.001691","0.015220","0.000564","0.007328"
"888","0.033558","0.006147","0.001126","0.007883","0.001126","0.002252","0.014640","0.001126","0.006757"
"889","0.033539","0.006142","0.001125","0.008437","0.001687","0.002812","0.015186","0.000563","0.006187"
"890","0.033520","0.006137","0.001124","0.007866","0.001124","0.003371","0.015731","0.001124","0.006742"
"891","0.033501","0.006132","0.001122","0.008418","0.000561","0.002806","0.015152","0.000561","0.007295"
"892","0.033482","0.006127","0.001121","0.007848","0.000000","0.002242","0.015695","0.001121","0.006727"
"893","0.033464","0.006122","0.001120","0.007279","0.000560","0.002799","0.015118","0.000560","0.007279"
"894","0.033445","0.006116","0.001119","0.007830","0.000000","0.002237","0.015660","0.000000","0.006712"
"895","0.033426","0.006111","0.001117","0.008380","0.000559","0.001676","0.016201","0.000559","0.006146"
"896","0.033408","0.006106","0.001116","0.007813","0.000000","0.002232","0.016741","0.001116","0.006697"
"897","0.033389","0.006101","0.001115","0.007247","0.000558","0.002787","0.016165","0.001672","0.006132"
"898","0.033370","0.006096","0.001114","0.006682","0.001114","0.003340","0.016704","0.001113","0.005568"
"899","0.033352","0.006091","0.001112","0.007231","0.000556","0.002781","0.016129","0.001668","0.005006"
"900","0.033333","0.006086","0.001111","0.006667","0.000000","0.003333","0.016667","0.001111","0.005556"
"901","0.033315","0.006081","0.001110","0.006105","0.000555","0.002774","0.016093","0.001665","0.006105"
"902","0.033296","0.006076","0.001109","0.005544","0.001109","0.003326","0.015521","0.001109","0.005543"
"903","0.033278","0.006071","0.001107","0.006091","0.000554","0.002768","0.014950","0.001661","0.004984"
"904","0.033260","0.006066","0.001106","0.006637","0.000000","0.002212","0.015487","0.001106","0.005531"
"905","0.033241","0.006061","0.001105","0.006078","0.000553","0.002762","0.014917","0.001657","0.006078"
"906","0.033223","0.006056","0.001104","0.006623","0.000000","0.003311","0.015453","0.001104","0.005519"
"907","0.033204","0.006051","0.001103","0.007167","0.000551","0.002756","0.014884","0.000551","0.004962"
"908","0.033186","0.006046","0.001101","0.006608","0.000000","0.002202","0.015419","0.000000","0.005507"
"909","0.033168","0.006041","0.001100","0.006051","0.000550","0.002750","0.015952","0.000550","0.004951"
"910","0.033150","0.006036","0.001099","0.005495","0.001099","0.003296","0.016484","0.001099","0.005495"
"911","0.033131","0.006031","0.001098","0.006038","0.000549","0.002744","0.015917","0.000549","0.004940"
"912","0.033113","0.006026","0.001096","0.006579","0.000000","0.003289","0.015351","0.001096","0.005483"
"913","0.033095","0.006021","0.001095","0.006024","0.000548","0.002738","0.015882","0.000547","0.004929"
"914","0.033077","0.006016","0.001094","0.006565","0.001094","0.003282","0.015317","0.000000","0.004377"
"915","0.033059","0.006011","0.001093","0.007104","0.000547","0.002732","0.014754","0.000546","0.004918"
"916","0.033041","0.006006","0.001092","0.006550","0.001092","0.002183","0.014192","0.001092","0.005459"
"917","0.033023","0.006001","0.001091","0.005998","0.001636","0.001636","0.013632","0.001636","0.005998"
"918","0.033005","0.005996","0.001089","0.006536","0.001090","0.002178","0.014161","0.001089","0.006536"
"919","0.032987","0.005991","0.001088","0.007073","0.000544","0.001632","0.014690","0.000544","0.005985"
"920","0.032969","0.005986","0.001087","0.006522","0.000000","0.001087","0.014131","0.000000","0.005435"
"921","0.032951","0.005981","0.001086","0.007058","0.000543","0.001628","0.013572","0.000543","0.004886"
"922","0.032933","0.005977","0.001085","0.006508","0.001085","0.001084","0.014100","0.000000","0.005423"
"923","0.032915","0.005972","0.001083","0.007042","0.001625","0.001625","0.014626","0.000542","0.005959"
"924","0.032898","0.005967","0.001082","0.006494","0.001082","0.001082","0.014069","0.000000","0.006494"
"925","0.032880","0.005962","0.001081","0.007027","0.000541","0.001621","0.013514","0.000541","0.005946"
"926","0.032862","0.005957","0.001080","0.007560","0.001080","0.002160","0.012959","0.001080","0.005400"
"927","0.032844","0.005952","0.001079","0.007012","0.000540","0.002697","0.012406","0.001618","0.004855"
"928","0.032827","0.005948","0.001078","0.006466","0.000000","0.002155","0.012931","0.001078","0.005388"
"929","0.032809","0.005943","0.001076","0.006997","0.000538","0.001615","0.012379","0.001615","0.005921"
"930","0.032791","0.005938","0.001075","0.006452","0.000000","0.002150","0.011828","0.002151","0.005377"
"931","0.032774","0.005933","0.001074","0.006982","0.000537","0.001611","0.012353","0.002685","0.005908"
"932","0.032756","0.005928","0.001073","0.006438","0.001073","0.001073","0.011803","0.003219","0.006438"
"933","0.032739","0.005924","0.001072","0.005895","0.001608","0.001608","0.012326","0.003751","0.005895"
"934","0.032721","0.005919","0.001071","0.005354","0.001071","0.002141","0.012848","0.004283","0.006424"
"935","0.032703","0.005914","0.001070","0.005883","0.000535","0.002674","0.012300","0.003743","0.005883"
"936","0.032686","0.005909","0.001068","0.005342","0.001068","0.002137","0.011752","0.004274","0.005342"
"937","0.032669","0.005905","0.001067","0.005870","0.000534","0.002668","0.012273","0.003735","0.004803"
