"Sample","N^-0.5","N^-0.75","N^-1","Golden Ratio","Golden Ratio Spiral","R2","R2 Spiral","R2 Jittered","White Noise","Hammersley","Sobol","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"1","1.000000","1.000000","1.000000","0.318310","0.318310","0.318310","0.318310","0.681690","0.318310","0.681690","0.318310","0.318310","0.318310","0.681690"
"2","0.707107","0.594604","0.500000","0.318310","0.318310","0.181690","0.181690","0.681690","0.318310","0.181690","0.318310","0.181690","0.318310","0.181690"
"3","0.577350","0.438691","0.333333","0.318310","0.318310","0.348357","0.015023","0.348357","0.318310","0.348357","0.015023","0.348357","0.015023","0.015023"
"4","0.500000","0.353553","0.250000","0.318310","0.318310","0.181690","0.181690","0.181690","0.318310","0.181690","0.068310","0.181690","0.068310","0.068310"
"5","0.447214","0.299070","0.200000","0.318310","0.318310","0.081690","0.081690","0.281690","0.118310","0.281690","0.118310","0.281690","0.118310","0.081690"
"6","0.408248","0.260847","0.166667","0.318310","0.318310","0.181690","0.015023","0.181690","0.015023","0.181690","0.151643","0.181690","0.015023","0.015023"
"7","0.377964","0.232368","0.142857","0.318310","0.318310","0.253119","0.110262","0.110262","0.032596","0.110262","0.032596","0.110262","0.110262","0.032596"
"8","0.353553","0.210224","0.125000","0.318310","0.318310","0.181690","0.056690","0.056690","0.068310","0.056690","0.056690","0.056690","0.056690","0.068310"
"9","0.333333","0.192450","0.111111","0.318310","0.318310","0.126135","0.126135","0.126135","0.096088","0.126135","0.015023","0.126135","0.015023","0.015023"
"10","0.316228","0.177828","0.100000","0.318310","0.318310","0.181690","0.081690","0.081690","0.018310","0.081690","0.018310","0.181690","0.018310","0.081690"
"11","0.301511","0.165560","0.090909","0.318310","0.318310","0.227145","0.045326","0.045326","0.045583","0.136236","0.045583","0.136236","0.045327","0.045326"
"12","0.288675","0.155101","0.083333","0.318310","0.318310","0.181690","0.015023","0.015023","0.068310","0.098357","0.015023","0.181690","0.015023","0.098357"
"13","0.277350","0.146064","0.076923","0.318310","0.318310","0.143229","0.010618","0.066305","0.087541","0.143229","0.010618","0.143229","0.066306","0.066305"
"14","0.267261","0.138167","0.071429","0.318310","0.318310","0.181690","0.032596","0.038833","0.104024","0.110262","0.032596","0.181690","0.038833","0.038833"
"15","0.258199","0.131199","0.066667","0.318310","0.318310","0.215023","0.051643","0.015023","0.118310","0.081690","0.015023","0.148357","0.015023","0.081690"
"16","0.250000","0.125000","0.062500","0.318310","0.318310","0.181690","0.005810","0.005810","0.130810","0.056690","0.056690","0.181690","0.005810","0.056690"
"17","0.242536","0.119444","0.058824","0.318310","0.318310","0.152278","0.024192","0.034631","0.141839","0.093455","0.034631","0.152278","0.034631","0.034631"
"18","0.235702","0.114432","0.055556","0.318310","0.318310","0.126135","0.040532","0.015023","0.096088","0.070579","0.015023","0.126135","0.070579","0.015023"
"19","0.229416","0.109884","0.052632","0.318310","0.318310","0.155374","0.055152","0.002520","0.107784","0.102743","0.002520","0.102743","0.050111","0.002520"
"20","0.223607","0.105737","0.050000","0.318310","0.318310","0.131690","0.068310","0.018310","0.068310","0.081690","0.018310","0.081690","0.031690","0.031690"
"21","0.218218","0.101938","0.047619","0.318310","0.318310","0.110262","0.080215","0.015023","0.080215","0.110262","0.032596","0.062642","0.015023","0.015023"
"22","0.213201","0.098443","0.045455","0.318310","0.318310","0.090781","0.091037","0.000128","0.091037","0.090781","0.045583","0.045326","0.045327","0.045327"
"23","0.208514","0.095215","0.043478","0.318310","0.318310","0.116473","0.100919","0.013962","0.057440","0.072994","0.013962","0.029516","0.029516","0.029516"
"24","0.204124","0.092223","0.041667","0.318310","0.318310","0.098357","0.068310","0.026643","0.068310","0.056690","0.015023","0.056690","0.015023","0.015023"
"25","0.200000","0.089443","0.040000","0.318310","0.318310","0.081690","0.078310","0.001690","0.078310","0.081690","0.001690","0.041690","0.001690","0.001690"
"26","0.196116","0.086850","0.038462","0.318310","0.318310","0.066305","0.049079","0.010618","0.049079","0.066305","0.010618","0.066305","0.027844","0.027844"
