"SampleCount","RMSE"
"1","0.259111"
"2","0.182184"
"4","0.117152"
"8","0.076749"
"16","0.056492"
"32","0.045018"
"64","0.040165"
"128","0.038025"
"256","0.041287"
"512","0.056924"
"1024","0.005283"
