"SampleCount","RMSE"
"1","0.279630"
"2","0.184154"
"4","0.117395"
"8","0.082700"
"16","0.057744"
"32","0.036579"
"64","0.024115"
"128","0.016571"
"256","0.011554"
"512","0.007999"
"1024","0.005666"
