"SampleCount","RMSE"
"1","0.324313"
"2","0.191248"
"4","0.124560"
"8","0.075647"
"16","0.055599"
"32","0.039112"
"64","0.025350"
"128","0.018457"
"256","0.013543"
"512","0.010047"
"1024","0.008505"
