"SampleCount","RMSE"
"1","0.259111"
"2","0.181196"
"4","0.121054"
"8","0.079493"
"16","0.050349"
"32","0.034208"
"64","0.022391"
"128","0.015127"
"256","0.009363"
"512","0.006548"
"1024","0.004929"
