"SampleCount","RMSE"
"1","0.268086"
"2","0.203921"
"4","0.117185"
"8","0.082732"
"16","0.061103"
"32","0.036665"
"64","0.025321"
"128","0.017745"
"256","0.012399"
"512","0.007864"
"1024","0.005891"
