"SampleCount","RMSE"
"1","0.280435"
"2","0.186371"
"4","0.120719"
"8","0.077050"
"16","0.057878"
"32","0.038610"
"64","0.023889"
"128","0.015800"
"256","0.011439"
"512","0.007678"
"1024","0.005655"
