"SampleCount","RMSE"
"1","0.274544"
"2","0.222348"
"4","0.205070"
"8","0.181548"
"16","0.171653"
"32","0.171526"
"64","0.178933"
"128","0.179498"
"256","0.140385"
"512","0.042490"
"1024","0.005535"
