"SampleCount","RMSE"
"1","0.259111"
"2","0.180808"
"4","0.112372"
"8","0.079626"
"16","0.056374"
"32","0.035296"
"64","0.024075"
"128","0.016212"
"256","0.010989"
"512","0.007943"
"1024","0.005385"
