"SampleCount","RMSE"
"1","0.303053"
"2","0.181340"
"4","0.122598"
"8","0.077868"
"16","0.054099"
"32","0.036034"
"64","0.025026"
"128","0.015478"
"256","0.010798"
"512","0.007368"
"1024","0.005495"
