"SampleCount","RMSE"
"1","0.276780"
"2","0.230235"
"4","0.194324"
"8","0.142029"
"16","0.104695"
"32","0.053214"
"64","0.028068"
"128","0.019328"
"256","0.012905"
"512","0.008642"
"1024","0.006113"
