"SampleCount","RMSE"
"1","0.259878"
"2","0.179534"
"4","0.115166"
"8","0.075375"
"16","0.053577"
"32","0.036372"
"64","0.024860"
"128","0.016353"
"256","0.011170"
"512","0.007760"
"1024","0.005480"
