"SampleCount","RMSE"
"1","0.279952"
"2","0.228547"
"4","0.213766"
"8","0.211536"
"16","0.211126"
"32","0.209086"
"64","0.203507"
"128","0.190609"
"256","0.162920"
"512","0.108120"
"1024","0.005202"
