"SampleCount","RMSE"
"1","0.267447"
"2","0.173157"
"4","0.145977"
"8","0.120494"
"16","0.071699"
"32","0.039610"
"64","0.031524"
"128","0.021658"
"256","0.015646"
"512","0.013590"
"1024","0.009749"
